Feature,Importance
Title_Mr,0.08044208439129186
Sex_female,0.06508361611335453
Sex_male,0.06494597529803052
Pclass,0.04665145220577487
Fare_Per_Person,0.03698733263324395
Age_Class,0.030111135726324966
Title_Mrs,0.02349092391498319
Name_Length,0.02043225319903717
FamilySize,0.01922398593989303
Fare,0.019206279636372323
Age,0.013665763088260062
Embarked_S,0.011173250325979923
Embarked_C,0.009214198557036583
Title_Miss,0.008735927430999242
Is_Child,0.006603264163319456
IsAlone,0.0029601429187870254
Title_Master,0.002866697722576674
Embarked_Q,0.0024983181576926027
Title_Rare,0.0015904279499939485
Is_Senior,0.000411247737646365
