Price,Category,ProductID,StockQuantity,ProductName
500,Home & Kitchen,1,73,Product_1
239.22,Home & Kitchen,2,84,Product_2
339.68,Toys,3,27,Product_3
136.59,Clothing,4,62,Product_4
298.73,Clothing,5,40,Product_5
478.14,Clothing,6,2,Product_6
249.3,Toys,7,88,Product_7
282.94,Home & Kitchen,8,13,Product_8
296.31,Books,9,96,Product_9
95.16,Electronics,10,13,Product_10
87.08,Toys,11,40,Product_11
181.43,Toys,12,79,Product_12
496.08,Electronics,13,5,Product_13
346.12,Home & Kitchen,14,95,Product_14
147.92,Clothing,15,18,Product_15
229.59,Clothing,17,90,Product_17
284.62,Clothing,18,92,Product_18
63.6,Books,19,86,Product_19
462.78,Books,20,6,Product_20
183.89,Clothing,21,77,Product_21
418.21,Clothing,22,63,Product_22
172.18,Toys,23,12,Product_23
445.62,Clothing,24,64,Product_24
419.07,Toys,25,47,Product_25
