product_id,product_name,price,size,brand
1,Asus ROG Zephyrus S GX701,2999.99,17.3 inches,Asus
2,Lenovo Legion Y540,1449.99,15.6 inches,Lenovo
3,HP Omen 15,1799.99,15.6 inches,HP
4,Dell G5 15,1399.99,15.6 inches,Dell
5,MSI GF65,1199.99,15.6 inches,MSI
6,Acer Predator Helios 300,1399.99,15.6 inches,Acer
7,Razer Blade 15,2799.99,15.6 inches,Razer
8,Alienware m15 R3,2799.99,15.6 inches,Alienware
9,MSI GE75 Raider,2349.99,17.3 inches,MSI
10,Asus TUF A15,899.99,15.6 inches,Asus
11,Lenovo Ideapad L340,699.99,15.6 inches,Lenovo
12,HP Pavilion 15,649.99,15.6 inches,HP
13,Dell Inspiron 15,749.99,15.6 inches,Dell
14,MSI GF75,999.99,17.3 inches,MSI
15,Acer Nitro 5,799.99,15.6 inches,Acer
